sentence,ambiguous,reduced,post_rc_POS,surprisal
The woman brought the sandwich from the kitchen . <eos>,True,True,EOS,2.7189714908599854
The woman who was brought the sandwich from the kitchen . <eos>,True,False,EOS,3.4533944129943848
The woman given the sandwich from the kitchen . <eos>,False,True,EOS,3.5746965408325195
The woman who was given the sandwich from the kitchen . <eos>,False,False,EOS,3.998609781265259
The captive walked into the dark cave . <eos>,True,True,EOS,3.7139687538146973
The captive who was walked into the dark cave . <eos>,True,False,EOS,5.279568195343018
The captive taken into the dark cave . <eos>,False,True,EOS,4.210826873779297
The captive who was taken into the dark cave . <eos>,False,False,EOS,4.874251842498779
The prisoners pounded for hours and hours . <eos>,True,True,EOS,2.0401713848114014
The prisoners who were pounded for hours and hours . <eos>,True,False,EOS,4.760086536407471
The prisoners beaten for hours and hours . <eos>,False,True,EOS,2.3559987545013428
The prisoners who were beaten for hours and hours . <eos>,False,False,EOS,4.222064018249512
The business expanded into an empire . <eos>,True,True,EOS,3.8268625736236572
The business that was expanded into an empire . <eos>,True,False,EOS,4.499326229095459
The business grown into an empire . <eos>,False,True,EOS,3.9458844661712646
The business that was grown into an empire . <eos>,False,False,EOS,4.3263373374938965
The rats consumed rapidly and entirely . <eos>,True,True,EOS,5.8048601150512695
The rats that were consumed rapidly and entirely . <eos>,True,False,EOS,6.807515621185303
The rats eaten rapidly and entirely . <eos>,False,True,EOS,4.733311653137207
The rats that were eaten rapidly and entirely . <eos>,False,False,EOS,6.897963047027588
The lawyer pledged to complete secrecy . <eos>,True,True,EOS,2.9142966270446777
The lawyer that was pledged to complete secrecy . <eos>,True,False,EOS,3.2650146484375
The lawyer sworn to complete secrecy . <eos>,False,True,EOS,3.038485050201416
The lawyer that was sworn to complete secrecy . <eos>,False,False,EOS,3.730407476425171
The child neglected in the chaos . <eos>,True,True,EOS,2.7871010303497314
The child who was neglected in the chaos . <eos>,True,False,EOS,4.070178985595703
The child forgotten in the chaos . <eos>,False,True,EOS,2.863609552383423
The child who was forgotten in the chaos . <eos>,False,False,EOS,4.170399188995361
The horses raced past the barn . <eos>,True,True,EOS,2.4737091064453125
The horses that were raced past the barn . <eos>,True,False,EOS,4.1675496101379395
The horses ridden past the barn . <eos>,False,True,EOS,3.1122982501983643
The horses that were ridden past the barn . <eos>,False,False,EOS,4.347831726074219
The artist sketched a hasty portrait . <eos>,True,True,EOS,4.2441582679748535
The artist who was sketched a hasty portrait . <eos>,True,False,EOS,5.668759346008301
The artist drawn a hasty portrait . <eos>,False,True,EOS,5.4587602615356445
The artist who was drawn a hasty portrait . <eos>,False,False,EOS,5.529565811157227
The car steered into the garage . <eos>,True,True,EOS,2.916647434234619
The car that was steered into the garage . <eos>,True,False,EOS,4.3649983406066895
The car driven into the garage . <eos>,False,True,EOS,3.961916208267212
The car that was driven into the garage . <eos>,False,False,EOS,5.054243087768555
The campaign intended to be very popular . <eos>,True,True,EOS,2.955141067504883
The campaign that was intended to be very popular . <eos>,True,False,EOS,3.2084407806396484
The campaign known to be very popular . <eos>,False,True,EOS,2.6660661697387695
The campaign that was known to be very popular . <eos>,False,False,EOS,3.1470789909362793
The student composed a carefully worded excuse . <eos>,True,True,EOS,5.66951847076416
The student who was composed a carefully worded excuse . <eos>,True,False,EOS,4.277698993682861
The student written a carefully worded excuse . <eos>,False,True,EOS,5.520967483520508
The student who was written a carefully worded excuse . <eos>,False,False,EOS,3.9044644832611084
The television show started three weeks ago . <eos>,True,True,EOS,1.7044748067855835
The television show that was started three weeks ago . <eos>,True,False,EOS,2.3112752437591553
The television show begun three weeks ago . <eos>,False,True,EOS,1.742051362991333
The television show that was begun three weeks ago . <eos>,False,False,EOS,2.289036989212036
The boys performed an unsolicited favor . <eos>,True,True,EOS,4.168532371520996
The boys who were performed an unsolicited favor . <eos>,True,False,EOS,4.363531112670898
The boys done an unsolicited favor . <eos>,False,True,EOS,4.23688268661499
The boys who were done an unsolicited favor . <eos>,False,False,EOS,4.405938148498535
The player tossed the plastic frisbee . <eos>,True,True,EOS,5.541074752807617
The player who was tossed the plastic frisbee . <eos>,True,False,EOS,4.991497039794922
The player thrown the plastic frisbee . <eos>,False,True,EOS,4.733561038970947
The player who was thrown the plastic frisbee . <eos>,False,False,EOS,5.297199249267578
The man stabbed deeply and fatally . <eos>,True,True,EOS,11.885041236877441
The man who was stabbed deeply and fatally . <eos>,True,False,EOS,15.554436683654785
The man bitten deeply and fatally . <eos>,False,True,EOS,11.787278175354004
The man who was bitten deeply and fatally . <eos>,False,False,EOS,13.506548881530762
The child jumped completely past . <eos>,True,True,EOS,6.503074645996094
The child who was jumped completely past . <eos>,True,False,EOS,6.909109115600586
The child leapt completely past . <eos>,False,True,EOS,6.309181213378906
The child who was leapt completely past . <eos>,False,False,EOS,6.465815544128418
The students prepared a fancy dinner . <eos>,True,True,EOS,4.136002540588379
The students who were prepared a fancy dinner . <eos>,True,False,EOS,3.831364154815674
The students gotten a fancy dinner . <eos>,False,True,EOS,3.3573179244995117
The students who were gotten a fancy dinner . <eos>,False,False,EOS,4.603156089782715
The infant fed during the night . <eos>,True,True,EOS,3.494610548019409
The infant that was fed during the night . <eos>,True,False,EOS,3.774690866470337
The infant woken during the night . <eos>,False,True,EOS,3.6481120586395264
The infant that was woken during the night . <eos>,False,False,EOS,3.193453073501587
The convict stowed away in the basement . <eos>,True,True,EOS,2.588858127593994
The convict who was stowed away in the basement . <eos>,True,False,EOS,3.2852699756622314
The convict hidden away in the basement . <eos>,False,True,EOS,2.7301762104034424
The convict who was hidden away in the basement . <eos>,False,False,EOS,3.008986711502075
The dog promenaded on the boardwalk . <eos>,True,True,EOS,2.0492477416992188
The dog that was promenaded on the boardwalk . <eos>,True,False,EOS,3.3629770278930664
The dog seen on the boardwalk . <eos>,False,True,EOS,3.2287492752075195
The dog that was seen on the boardwalk . <eos>,False,False,EOS,3.5933165550231934
The ship navigated off course . <eos>,True,True,EOS,3.194636821746826
The ship that was navigated off course . <eos>,True,False,EOS,4.663567066192627
The ship blown off course . <eos>,False,True,EOS,2.8217926025390625
The ship that was blown off course . <eos>,False,False,EOS,4.95947265625
The balloon deflated to a small size . <eos>,True,True,EOS,4.357967853546143
The balloon that was deflated to a small size . <eos>,True,False,EOS,4.836537837982178
The balloon shrunk to a small size . <eos>,False,True,EOS,3.5514345169067383
The balloon that was shrunk to a small size . <eos>,False,False,EOS,4.949469089508057
The boat sailed in the lake . <eos>,True,True,EOS,3.0886573791503906
The boat that was sailed in the lake . <eos>,True,False,EOS,4.063817024230957
The boat sunk in the lake . <eos>,False,True,EOS,2.4566376209259033
The boat that was sunk in the lake . <eos>,False,False,EOS,4.062341213226318
The couple bought the apartment . <eos>,True,True,EOS,4.578662872314453
The couple that was bought the apartment . <eos>,True,False,EOS,3.878328561782837
The couple shown the apartment . <eos>,False,True,EOS,5.46806526184082
The couple that was shown the apartment . <eos>,False,False,EOS,4.334503173828125
The  girl stitched a new shawl . <eos>,True,True,EOS,4.55615758895874
The  girl who was stitched a new shawl . <eos>,True,False,EOS,4.665531635284424
The  girl woven a new shawl . <eos>,False,True,EOS,5.466418266296387
The  girl who was woven a new shawl . <eos>,False,False,EOS,4.868060111999512
The airplane landed in the arctic . <eos>,True,True,EOS,2.8425917625427246
The airplane that was landed in the arctic . <eos>,True,False,EOS,3.5622737407684326
The airplane flown in the arctic . <eos>,False,True,EOS,2.9090945720672607
The airplane that was flown in the arctic . <eos>,False,False,EOS,3.8939990997314453
The toddler hurried down the hallway . <eos>,True,True,EOS,2.7592544555664062
The toddler that was hurried down the hallway . <eos>,True,False,EOS,3.406787157058716
The toddler borne down the hallway . <eos>,False,True,EOS,2.4083337783813477
The toddler that was borne down the hallway . <eos>,False,False,EOS,3.4082159996032715
