source,idx,Start,Noun modifier,Noun,Unreduced content,Ambiguous verb,Unambiguous verb,RC contents,RC extra contents pre by-phrase,RC by-phrase,RC extra contents post by-phrase,Disambiguator,End
clifton2003,0,The,tired,troops,who were,attacked,woken,,,by the terrorists,,suffered,heavy losses . <eos>
clifton2003,1,The,intelligent,contestant,who was,selected,chosen,,,by the judges,,deserved,to win the competition . <eos>
clifton2003,2,The,old,teacher,who was,hated,forgotten,,,by the class,,knew,the way home . <eos>
clifton2003,3,The,shiny,award,that was,accepted,taken,,,by the school,,indicated,its good reputation . <eos>
clifton2003,4,The,urgent,letter,that was,sent,written,,,by the governor,,arrived,late . <eos>
clifton2003,5,The,large,portrait,that was,sketched,drawn,,,by the artist,,showed,her good side . <eos>
clifton2003,6,The,reputable,specialist,who was,requested,known,,,by the hospital,,helped,the patients . <eos>
clifton2003,7,The,long,book,that was,read,begun,,,by the student,,addressed,some important issues . <eos>
clifton2003,8,The,slow,mailman,who was,expected,driven,,,by the secretary,,was,delayed . <eos>
clifton2003,9,The,white,van,that was,recognized,seen,,,by the spy,,sped,down the street . <eos>
clifton2003,10,The,expensive,car,that was,towed,taken,,,by the police,,contained,narcotics . <eos>
clifton2003,11,The,young,speaker,who was,proposed,chosen,,,by the committee,,gave,a talk . <eos>
futrell-modified,0,The,impatient,woman,who was,brought,given,the sandwich,with a new oven,by the maid,from the kitchen,tripped,on the carpet . <eos>
futrell-modified,1,The,dirty,captive,who was,walked,taken,into the dark cave,lit by torches,by the guards,,tried,to escape but failed . <eos>
futrell-modified,2,The,foreign,prisoners,who were,pounded,beaten,for hours and hours,,by the soldiers,in the morning,confessed,to crimes they never committed . <eos>
futrell-modified,3,The,trucking,business,that was,expanded,grown,into an empire,spanning multiple countries,by the manager,,was,sold for billions of dollars . <eos>
futrell-modified,4,The,city,rats,that were,consumed,eaten,rapidly and entirely,,by the cat,due to great hunger,were,digested in the belly of the cat . <eos>
futrell-modified,5,The,imposing,lawyer,that was,pledged,sworn,to complete secrecy,,by the client,due to security issues,was,discovered to have broken his promise . <eos>
futrell-modified,6,The,brave,child,who was,neglected,forgotten,in the chaos,of the war,by the town,,found,her way back home . <eos>
futrell-modified,7,The,brown,horses,that were,raced,ridden,past the barn,,by the men,in the countryside,fell,into a ditch . <eos>
futrell-modified,8,The,busy,artist,who was,sketched,drawn,a hasty portrait,,by the amateur,before the deadline,was,impressed with the work . <eos>
futrell-modified,9,The,old,car,that was,steered,driven,into the garage,filled with tools,by the child,,crashed,into a concrete pillar . <eos>
futrell-modified,10,The,marketing,campaign,that was,intended,known,to be very popular,among the masses,by the organizers,,was,still unsuccessful . <eos>
futrell-modified,11,The,mischievous,student,who was,composed,written,a carefully worded excuse,filled with lies,by his sister,,forgot,to give it to the teacher . <eos>
futrell-modified,12,The,financial,television show,that was,started,begun,three weeks ago,,by the entrepreneur,on a cable channel,was,cancelled immediately . <eos>
futrell-modified,13,The,thoughtful,boys,who were,performed,done,an unsolicited favor,,by a person,for no good reason,thanked,the person who helped them . <eos>
futrell-modified,14,The,aggressive,player,who was,tossed,thrown,the plastic frisbee,,by her teammate,during the game,dropped,it on the ground . <eos>
futrell-modified,15,The,local,man,who was,stabbed,bitten,deeply and fatally,in the afternoon,by the attacker,,died,very quickly . <eos>
futrell-modified,16,The,loud,child,who was,jumped,leapt,completely past,,by the other child,in the playground,was,upset about it . <eos>
futrell-modified,17,The,college,students,who were,prepared,gotten,a fancy dinner,for the holiday,by their parents,,ate,the meal quickly . <eos>
futrell-modified,18,The,noisy,infant,that was,fed,woken,during the night,of the first full moon,by the noise,,cried,intensely . <eos>
futrell-modified,19,The,lonely,convict,who was,stowed,hidden,away in the basement,filled with mold,by the warden,,escaped,during the night . <eos>
futrell-modified,20,The,black,dog,that was,promenaded,seen,on the boardwalk,of the marina,by its owner,,barked,at the onlookers . <eos>
futrell-modified,21,The,wooden,ship,that was,navigated,blown,off course,,by the wind,in the Pacific Ocean,sank,on the reef . <eos>
futrell-modified,22,The,green,balloon,that was,deflated,shrunk,to a small size,over several hours,by the pressure change,,popped,with a bang . <eos>
futrell-modified,23,The,small,boat,that was,sailed,sunk,in the lake,filled with crocodiles,by the captain,,disappeared,in the storm . <eos>
futrell-modified,24,The,married,couple,that was,bought,shown,the apartment,with new wood floors,by the realtor,,moved,to a different city . <eos>
futrell-modified,25,The ,young,girl,who was,stitched,woven,a new shawl,out of wool,by her grandmother,,lost,it during the trip . <eos>
futrell-modified,26,The,propeller,airplane,that was,landed,flown,in the arctic,,by the pilot,in the winter,froze,during the ice storm . <eos>
futrell-modified,27,The,nauseous,toddler,that was,hurried,borne,down the hallway,,by the principal,of the school,sobbed,at the top of his lungs . <eos>
levy2009,0,The,awkward,professor,who was,taught,given,a dancing lesson,,by the experienced instructor,,shared,the video . <eos>
levy2009,1,The,overweight,customer,who was,allowed,forbidden,the pleasure of eating sweets,,by his doctor,,became,much healthier . <eos>
levy2009,2,The,aggressive,player,who was,tossed,thrown,a frisbee,,by the opposing team,,scored,a goal . <eos>
levy2009,3,The,elderly,woman,who was,offered,given,a beer,,by the hostess,,forgot,to leave a tip . <eos>
levy2009,4,The,experienced,waiter,who was,served,given,pea soup,,by a trainee,,felt,let down . <eos>
levy2009,5,The,intelligent,man,who was,rented,shown,an apartment,,by his uncle,,made,an offer . <eos>
levy2009,6,The,thin,woman,who was,knitted,woven,a shawl,,by her mother,,wore,it to the wedding . <eos>
levy2009,7,The,stubborn,sergeant,who was,presented,shown,a list of charges,,by the judge,,failed,to appear . <eos>
levy2009,8,The,lazy,congressman,who was,mailed,written,a letter,,by the CEO,,won,the election . <eos>
levy2009,9,The,popular,athlete,who was,hurled,thrown,a pass,,by the quarterback,,fell,on the ground . <eos>
